upma;brand;game_manufacturer
id_abarth;Abarth;ABARTH
id_acura;Acura;Acura
id_alfaromeo;Alfa Romeo;AlfaRomeo
id_alpine;Alpine;Alpine
id_amc;AMC;AMC
id_apollo;Apollo;Apollo
id_arrinera;Arrinera;Arrinera
id_aspark;Aspark;Aspark
id_astonmartin;Aston Martin;Aston Martin
id_atsautomobili;ATS Automobili;ATS Automobili
id_audi;Audi;Audi
id_bac;BAC;BAC
id_bentley;Bentley;Bentley
id_bmw;BMW;BMW
id_brabham;Brabham;BRABHAM
id_bttf;Back To The Future;BackToTheFuture
id_bugatti;Bugatti;Bugatti
id_buick;Buick;Buick
id_cadillac;Cadillac;Cadillac
id_chevrolet;Chevrolet;Chevrolet
id_czinger;Czinger;Czinger
id_dallara;Dallara;Dallara
id_datsun;Datsun;DATSUN
id_detomaso;De Tomaso;De Tomaso
id_devel;Devel;Devel
id_dodge;Dodge;Dodge
id_donkervoort;Donkervoort;Donkervoort
id_ferrari;Ferrari;Ferrari
id_fnf;Fast And Furious;Fast and Furious
id_ford;Ford;Ford
id_fsd;FSD;FSD
id_ginetta;Ginetta;Ginetta
id_gtamotor;Spania GTA Motor;Spania GTA
id_hennessey;Hennessey;Hennessey
id_honda;Honda;Honda
id_hyperion;Hyperion;Hyperion
id_hyundai;Hyundai;Hyundai
id_indycar;IndyCar;Indycar
id_infiniti;Infiniti;INFINITI
id_italdesign;Italdesign;Italdesign
id_jaguar;Jaguar;Jaguar
id_jeep;Jeep;Jeep
id_kia;Kia;Kia
id_kimera;Kimera;Kimera
id_koenigsegg;Koenigsegg;Koenigsegg
id_ktm;KTM;KTM
id_lamborghini;Lamborghini;Lamborghini
id_lancia;Lancia;Lancia
id_landrover;Land Rover;Landrover
id_lexus;Lexus;LEXUS
id_localmotor;Local Motors;localmotor
id_lotus;Lotus;Lotus
id_maserati;Maserati;MASERATI
id_mazda;Mazda;Mazda
id_mazzanti;Mazzanti;Mazzanti
id_mclaren;McLaren;McLaren
id_mcmurtry;McMurtry;McMurtry
id_mercedes;Mercedes;Mercedes
id_mercedesamgpetronas;Mercedes F1;Mercedes-AMG Petronas
id_mini;Mini;MINI
id_mitsubishi;Mitsubishi;Mitsubishi
id_nilu27;Nilu27;Nilu
id_nissan;Nissan;Nissan
id_noble;Noble;Noble
id_pagani;Pagani;Pagani
id_pininfarina;Pininfarina;Pininfarina
id_placeholder;Placeholder Mystery;Placeholder
id_plymouth;Plymouth;Plymouth
id_pontiac;Pontiac;Pontiac
id_porsche;Porsche;Porsche
id_radford;Radford;Radford
id_raesr;RAESR;RAESR
id_ram;RAM;RAM
id_renault;Renault;Renault
id_rimac;Rimac;Rimac
id_ruf;RUF;RUF
id_saleen;Saleen;Saleen
id_scg;SCG;SCG
id_shelby;Shelby;Shelby
id_spyker;Spyker;Spyker
id_ssc;SSC;SSC
id_subaru;Subaru;Subaru
id_toyota;Toyota;Toyota
id_tvr;TVR;TVR
id_ultima;Ultima;ULTIMA
id_volkswagen;Volkswagen;Volkswagen
id_vuhl;VUHL;VUHL
id_wmotors;WMotors;WMotors
id_zenvo;Zenvo;Zenvo
