crdb;brand;folder;name;seasons;name_source;seasons_source;prestige_cup_info;remark
Abarth_500_2014;Abarth;Abarth 500;Abarth 500;;repository;;;
Acura_IntegraGSRF1_1998;Acura;Acura Integra GS-R;Acura Integra GS-R;;repository;;;
Acura_IntegraTypeRDB8F1_1995;Acura;Acura Integra LS Sedan;Acura Integra LS Sedan;;repository;;;
Acura_NSXF9_2018;Acura;Acura NSX;Acura NSX;;repository;;;
Acura_NSXTypeSReward_2022;Acura;Acura NSX Type S 2022;Acura NSX Type S 2022;171;repository;repository;;
Acura_NSXTypeSRewardRecycled_2022;Acura;Acura NSX Type S 2022;Acura NSX Type S 2022;171;repository;repository;;
AlfaRomeo_4CCoupeCrew_2013;Alfa Romeo;#Summer's Alfa Romeo 4C 'Launch Edition';Summer's Alfa Romeo 4C 'Launch Edition';;repository;;;
AlfaRomeo_4CCoupeCrewRecycled_2013;Alfa Romeo;Alfa Romeo 4C;Alfa Romeo 4C;;repository;;;
AlfaRomeo_4CSpider_2016;Alfa Romeo;Alfa Romeo 4C Spider;Alfa Romeo 4C Spider;;repository;;;
AlfaRomeo_8CCompetizione_2007;Alfa Romeo;Alfa Romeo 8C Competizione;Alfa Romeo 8C Competizione;;repository;;;
AlfaRomeo_8CSpiderReward_2009;Alfa Romeo;Alfa Romeo 8C Spider;Alfa Romeo 8C Spider;108;repository;repository;;
AlfaRomeo_8CSpiderRewardRecycled_2009;Alfa Romeo;Alfa Romeo 8C Spider;Alfa Romeo 8C Spider;108;repository;repository;;
AlfaRomeo_GiuliaGTAmReward_2021;Alfa Romeo;Alfa Romeo Giulia GTAm;Alfa Romeo Giulia GTAm;121;repository;repository;;
AlfaRomeo_GiuliaGTAmRewardRecycled_2021;Alfa Romeo;Alfa Romeo Giulia GTAm;Alfa Romeo Giulia GTAm;121;repository;repository;;
AlfaRomeo_GiuliaQuadrifoglio_2017;Alfa Romeo;Alfa Romeo Guilia Quadrifoglio;Alfa Romeo Guilia Quadrifoglio;;repository;;;
Alpine_A110_2018;Alpine;Alpine A110;Alpine A110;;repository;;;
AMC_RingbrothersJavelinDefiant_1972;AMC;AMC Ringbrothers Prestone Javelin AMX 'Defiant!';AMC Ringbrothers Prestone Javelin AMX 'Defiant!';;repository;;;
Apollo_IntensaEmozione_2019;Apollo;Apollo Intensa Emozione;Apollo Intensa Emozione;;repository;;;
Apollo_IntensaEmozioneCarbon_2019;Apollo;Apollo Intensa Emozione Carbon;Apollo Intensa Emozione Carbon;;repository;;;
Apollo_IntensaEmozioneOrangeDragon_2019;Apollo;Apollo Intensa Emozione 'Orange Dragon';Apollo Intensa Emozione 'Orange Dragon';;repository;;;
