paid;game_paint;color
1;Volkswagen Tornado Red;TornadoRed
2;Volkswagen Reflex Silver;ReflexSilver
3;Volkswagen Carbon Steel;CarbonSteel
4;Volkswagen Night Blue;NightBlue
5;Volkswagen Deep Black;DeepBlack
6;BMW Alpine White;AlpineWhite
7;BMW Sakhir Orange;SakhirOrange
8;BMW Austin Yellow;AustinYellow
9;BMW Yas Marina Blue;YasMarinaBlue
10;BMW Mineral Grey;MineralGrey
11;BMW Black Sapphire;BlackSapphire
12;BMW Silverstone;Silverstone
13;BMW Mineral White;MineralWhite
14;Audi Ibis White;IbisWhite
16;Audi Mythos Black;MythosBlack
18;Audi Daytona Gray;DaytonaGray
19;Audi Misano Red;MisanoRed
20;Audi Sepang Blue;SepangBlue
21;Audi Panther Black Crystal;PantherBlackCrystal
22;Audi Monza Silver;MonzaSilver
23;Audi Phantom Black;PhantomBlack
26;Audi Brillant Red;BrillantRed
27;Audi Florett Silver;FlorettSilver
28;Audi Samoa Orange;SamoaOrange
29;Audi Teak Brown;TeakBrown
30;Audi Daytona Gray;DaytonaGray
31;Audi Suzuka Gray;SuzukaGray
32;Audi Sepang Blue Matt;SepangBlueMatt
33;Bugatti Dark Blue Tinted Carbon - White Silver;DarkBlueTintedCarbon-WhiteSilver
34;Bugatti 6K Black Carbon 3% Tinting / Tangerine;6KBlackCarbon3%TintingTangerine
35;Mclaren Blue;Blue
36;McLaren Silver;Silver
37;McLaren Azure Blue;AzureBlue
38;McLaren Graphite;Graphite
39;McLaren Carbon Black;CarbonBlack
40;McLaren Sapphire Black;SapphireBlack
41;McLaren Mercury Red;MercuryRed
42;McLaren Volcanic Orange;VolcanicOrange
43;McLaren Titanium Silver;TitaniumSilver
44;McLaren Petrol Green;PetrolGreen
45;McLaren Amethyst Black;AmethystBlack
46;Mclaren Speciale Orange;SpecialeOrange
47;McLaren Volcanic Red;VolcanicRed
48;McLaren Volcanic Yellow;VolcanicYellow
49;McLaren Ice Silver;IceSilver
50;McLaren Supernova Silver;SupernovaSilver
51;McLaren Fire Black;FireBlack
52;McLaren Pearl White;PearlWhite
53;Aston Martin Carbon Black;CarbonBlack
54;Aston Martin Greybull;Greybull
55;Aston Martin China Grey;ChinaGrey
56;Aston Martin Diavolo Red;DiavoloRed
57;Aston Martin Jet Black;JetBlack
58;Aston Martin Madagascar Orange;MadagascarOrange
59;Aston Martin Mako Blue;MakoBlue
60;Aston Martin Marron Black;MarronBlack
61;Aston Martin Ocellus Teal;OcellusTeal
62;Aston Martin Quantum Silver;QuantumSilver
63;Aston Martin Selene Bronze;SeleneBronze
64;Aston Martin Silver Blonde;SilverBlonde
65;Aston Martin Lightning Silver;LightningSilver
66;Aston Martin Mariana Blue;MarianaBlue
67;Aston Martin Cobalt Blue;CobaltBlue
68;Aston Martin Concours Blue;ConcoursBlue
69;Aston Martin Hammerhead Silver;HammerheadSilver
70;Aston Martin Hardly Green;HardlyGreen
71;Aston Martin Appletree Green;AppletreeGreen
72;Aston Martin Arizona Bronze;ArizonaBronze
73;Aston Martin Viridian Green;ViridianGreen
74;Aston Martin Divine Red;DivineRed
75;Aston Martin Sea Storm;SeaStorm
76;Aston Martin Tungsten Silver;TungstenSilver
77;Aston Martin Volcano Red;VolcanoRed
78;Aston Martin Meteorite Silver;MeteoriteSilver
79;Aston Martin Midnight Blue;MidnightBlue
80;Aston Martin Silver Fox;SilverFox
81;Aston Martin Onyx Black;OnyxBlack
82;Aston Martin Kopi Bronze;KopiBronze
83;Aston Martin Storm Black;StormBlack
84;Aston Martin Skyfall Silver;SkyfallSilver
85;Aston Martin Stratus White;StratusWhite
86;Aston Martin Yellow Tang;YellowTang
87;Aston Martin Sunburst Yellow;SunburstYellow
88;Aston Martin Morning Frost White;MorningFrostWhite
89;Chevrolet Summit White;SummitWhite
90;Chevrolet Black;Black
91;Chevrolet Red Hot;RedHot
92;Chevrolet Bright Yellow;BrightYellow
93;Chevrolet Silver Ice;SilverIce
94;Chevrolet Ashen Gray;AshenGray
95;Chevrolet Red Rock;RedRock
