crdb;default_paid;source
Abarth_500_2014;280;CarVisualsData
Acura_IntegraGSRF1_1998;2537;CarVisualsData
Acura_IntegraTypeRDB8F1_1995;2351;CarVisualsData
Acura_NSXF9_2018;744;CarVisualsData
Acura_NSXTypeSReward_2022;2037;CarVisualsData
Acura_NSXTypeSRewardRecycled_2022;741;CarVisualsData
AlfaRomeo_4CCoupeCrew_2013;739;CarVisualsData
AlfaRomeo_4CCoupeCrewRecycled_2013;633;CarVisualsData
AlfaRomeo_4CSpider_2016;633;CarVisualsData
AlfaRomeo_8CCompetizione_2007;633;CarVisualsData
AlfaRomeo_8CSpiderReward_2009;626;CarVisualsData
AlfaRomeo_8CSpiderRewardRecycled_2009;631;CarVisualsData
AlfaRomeo_GiuliaGTAmReward_2021;1753;CarVisualsData
AlfaRomeo_GiuliaGTAmRewardRecycled_2021;1752;CarVisualsData
AlfaRomeo_GiuliaQuadrifoglio_2017;633;CarVisualsData
Alpine_A110_2018;1273;CarVisualsData
AMC_RingbrothersJavelinDefiant_1972;1111;CarVisualsData
Apollo_IntensaEmozione_2019;1103;CarVisualsData
Apollo_IntensaEmozioneCarbon_2019;1104;CarVisualsData
Apollo_IntensaEmozioneOrangeDragon_2019;2171;CarVisualsData
Apollo_ProjectEvo_2022;2350;CarVisualsData
Apollo_S_2008;2685;CarVisualsData
Arrinera_HussaryaReward_2020;1797;CarVisualsData
Arrinera_HussaryaRewardRecycled_2020;1803;CarVisualsData
Aspark_Owl_2021;2294;CarVisualsData
Aspark_OwlSP600_2024;2730;CarVisualsData
AstonMartin_DB11Reward_2017;778;CarVisualsData
AstonMartin_DB11RewardRecycled_2017;781;CarVisualsData
AstonMartin_DB12_2023;2191;CarVisualsData
AstonMartin_DB12VolanteReward_2024;65;CarVisualsData
AstonMartin_DB12VolanteRewardRecycled_2024;2262;CarVisualsData
AstonMartin_DB5Classic_1964;1089;CarVisualsData
AstonMartin_DBR22_2023;2100;CarVisualsData
AstonMartin_DBS770UltimateReward_2023;2100;CarVisualsData
AstonMartin_DBS770UltimateRewardRecycled_2023;782;CarVisualsData
AstonMartin_DBSGTZagato_2020;1308;CarVisualsData
AstonMartin_DBSSuperleggeraReward_2019;1167;CarVisualsData
AstonMartin_DBSSuperleggeraRewardRecycled_2019;71;CarVisualsData
AstonMartin_DBSVolanteReward_2020;1798;CarVisualsData
AstonMartin_DBSVolanteRewardRecycled_2020;1595;CarVisualsData
AstonMartin_DBX707Reward_2023;2094;CarVisualsData
AstonMartin_DBX707RewardRecycled_2023;784;CarVisualsData
AstonMartin_DBXReward_2019;1597;CarVisualsData
AstonMartin_DBXRewardRecycled_2019;68;CarVisualsData
AstonMartin_DBXSReward_2026;2639;CarVisualsData
AstonMartin_DBXSRewardRecycled_2026;2640;CarVisualsData
AstonMartin_One77Reward_2010;856;CarVisualsData
AstonMartin_One77RewardRecycled_2010;778;CarVisualsData
AstonMartin_V12Speedster_2021;990;CarVisualsData
AstonMartin_V12SpeedsterDBR1_2021;1765;CarVisualsData
AstonMartin_V12Vantage_2023;2099;CarVisualsData
AstonMartin_V12VantageRReward_2023;2354;CarVisualsData
AstonMartin_V12VantageRRewardRecycled_2023;2258;CarVisualsData
AstonMartin_Valhalla_2020;784;CarVisualsData
AstonMartin_Valhalla_2025;2354;CarVisualsData
AstonMartin_ValhallaGold_2020;1596;CarVisualsData
AstonMartin_Valiant_2025;2345;CarVisualsData
AstonMartin_Valkyrie_2020;990;CarVisualsData
AstonMartin_ValkyrieAMRPro_2022;2100;CarVisualsData
AstonMartin_ValkyrieAMRProConcept_2020;1898;CarVisualsData
AstonMartin_ValkyrieSpider_2022;1764;CarVisualsData
AstonMartin_ValkyrieSpirit_2020;781;CarVisualsData
AstonMartin_ValkyrieTrackPack_2020;1764;CarVisualsData
AstonMartin_ValkyrieTrackPackAMR_2020;1898;CarVisualsData
AstonMartin_Valour_2024;2203;CarVisualsData
AstonMartin_ValourReward_2024;2319;CarVisualsData
AstonMartin_ValourRewardRecycled_2024;57;CarVisualsData
AstonMartin_Vanquish_2014;62;CarVisualsData
AstonMartin_Vanquish_2025;2250;CarVisualsData
AstonMartin_VanquishVReward_2025;1463;CarVisualsData
AstonMartin_VanquishVRewardRecycled_2025;2259;CarVisualsData
AstonMartin_VanquishZagatoReward_2017;1308;CarVisualsData
AstonMartin_VanquishZagatoRewardRecycled_2017;782;CarVisualsData
AstonMartin_VanquishZagatoSB_2017;1308;CarVisualsData
AstonMartin_Vantage_2024;2355;CarVisualsData
AstonMartin_VantageGT12_2016;784;CarVisualsData
AstonMartin_VantageGTE_2020;1898;CarVisualsData
AstonMartin_VantageRoadsterReward_2021;1596;CarVisualsData
AstonMartin_VantageRoadsterRewardRecycled_2021;784;CarVisualsData
AstonMartin_VantageRReward_2025;2250;CarVisualsData
AstonMartin_VantageRRewardRecycled_2025;2432;CarVisualsData
AstonMartin_VantageV8Reward_2018;65;CarVisualsData
AstonMartin_VantageV8RewardRecycled_2018;780;CarVisualsData
AstonMartin_Victor_2020;1849;CarVisualsData
AstonMartin_VulcanReward_2016;877;CarVisualsData
AstonMartin_VulcanRewardGold_2016;1089;CarVisualsData
AstonMartin_VulcanRewardRecycled_2016;56;CarVisualsData
ATSAutomobili_GTReward_2018;1330;CarVisualsData
ATSAutomobili_GTRewardRecycled_2018;1332;CarVisualsData
ATSAutomobili_RRTurbo_2020;1812;CarVisualsData
Audi_ABTRS6RReward_2020;1833;CarVisualsData
Audi_ABTRS6RRewardRecycled_2020;1819;CarVisualsData
Audi_ABTRS7RReward_2020;1825;CarVisualsData
Audi_ABTRS7RRewardRecycled_2020;1951;CarVisualsData
Audi_LBR8V10PlusCoupeElite_2014;23;CarVisualsData
Audi_LBR8V10PlusCoupeReward_2014;766;CarVisualsData
Audi_LBR8V10PlusCoupeRewardRecycled_2014;14;CarVisualsData
Audi_LBRS5Coupe_2014;771;CarVisualsData
Audi_LBRS5CoupeElite_2014;18;CarVisualsData
Audi_NEWINGR8RSRReward_2016;1621;CarVisualsData
Audi_NEWINGR8RSRRewardRecycled_2016;19;CarVisualsData
Audi_R18_2014;1621;CarVisualsData
Audi_R8LMSGT3_2019;1834;CarVisualsData
Audi_R8SpyderReward_2020;1426;CarVisualsData
Audi_R8SpyderRewardRecycled_2020;850;CarVisualsData
Audi_R8V10Decennium_2019;1457;CarVisualsData
Audi_R8V10GreenHell_2020;2039;CarVisualsData
Audi_R8V10GTReward_2023;2169;CarVisualsData
Audi_R8V10GTRewardRecycled_2023;850;CarVisualsData
Audi_R8V10PlusCoupe_2014;20;CarVisualsData
Audi_R8V10PlusCoupe_2016;846;CarVisualsData
Audi_R8V10PlusCoupeReward_2016;845;CarVisualsData
Audi_R8V10PlusCoupeRewardRecycled_2016;774;CarVisualsData
Audi_RS3SedanReward_2023;18;CarVisualsData
Audi_RS3SedanRewardRecycled_2023;2205;CarVisualsData
Audi_RS3SportbackReward_2023;2683;CarVisualsData
Audi_RS3SportbackRewardRecycled_2023;1621;CarVisualsData
Audi_RS5Coupe_2014;19;CarVisualsData
Audi_RS5CoupeReward_2020;850;CarVisualsData
Audi_RS5CoupeRewardRecycled_2020;1877;CarVisualsData
Audi_RS6AvantGTReward_2024;2340;CarVisualsData
