raw;crdb;ctie;nitrous(fidr)full;gear(nlpr) full;tyres(ttpp)full;power(cppi)full;Perf(cepi)full
1;Abarth_500_2014;TIER_1;3.25;0.71;0.36;350;509
2;Abarth_500_2014;TIER_1;3.25;0.72;0.36;350;550
3;Acura_IntegraGSRF1_1998;TIER_5;2.0;1.0;0.0;713;2521
4;Acura_IntegraTypeRDB8F1_1995;TIER_5;2.0;1.0;0.0;713;2475
5;Acura_NSXF9_2018;TIER_4;2.94;1.0;0.0;674;1307
6;Acura_NSXTypeSReward_2022;TIER_5;2.09;1.0;0.0;713;2086
7;Acura_NSXTypeSRewardRecycled_2022;TIER_5;2.09;1.0;0.0;713;2060
8;AlfaRomeo_4CCoupeCrew_2013;TIER_2;2.01;0.95;0.0;485;916
9;AlfaRomeo_4CCoupeCrewRecycled_2013;TIER_2;2.09;0.96;0.0;485;821
10;AlfaRomeo_4CSpider_2016;TIER_2;2.16;0.83;0.54;483;818
11;AlfaRomeo_4CSpider_2016;TIER_2;3.01;0.93;0.54;483;771
12;AlfaRomeo_8CCompetizione_2007;TIER_4;2.76;0.85;;673;1665
13;AlfaRomeo_8CSpiderReward_2009;TIER_4;4.18;;;673;694
14;AlfaRomeo_8CSpiderRewardRecycled_2009;TIER_4;4.18;;;673;675
15;AlfaRomeo_GiuliaGTAmReward_2021;TIER_4;2.0;1.0;0.0;673;1578
16;AlfaRomeo_GiuliaGTAmRewardRecycled_2021;TIER_4;2.0;1.0;0.0;673;1555
17;AlfaRomeo_GiuliaQuadrifoglio_2017;TIER_3;3.92;0.99;0.0;581;699
18;Alpine_A110_2018;TIER_2;3.02;1.0;0.0;483;1274
19;AMC_RingbrothersJavelinDefiant_1972;TIER_5;2.0;1.0;0.08;713;2405
20;Apollo_IntensaEmozione_2019;TIER_5;2.86;1.0;0.18;714;2236
21;Apollo_IntensaEmozioneCarbon_2019;TIER_5;2.24;1.0;0.0;715;2247
22;Apollo_IntensaEmozioneOrangeDragon_2019;TIER_5;2.86;1.0;0.18;714;2236
23;Apollo_ProjectEvo_2022;TIER_5;2.0;1.0;0.0;713;2577
24;Apollo_S_2008;TIER_5;2.0;1.0;0.0;713;2677
25;Arrinera_HussaryaReward_2020;TIER_5;2.0;1.0;0.53;713;2042
26;Arrinera_HussaryaRewardRecycled_2020;TIER_5;2.0;1.0;0.53;713;2010
27;Aspark_Owl_2021;TIER_5;2.0;1.0;0.0;713;2531
28;Aspark_OwlSP600_2024;TIER_5;2.0;1.0;0.0;713;2609
29;AstonMartin_DB11Reward_2017;TIER_5;2.84;1.0;0.0;713;1594
30;AstonMartin_DB11RewardRecycled_2017;TIER_5;2.88;1.0;0.0;713;1566
31;AstonMartin_DB12_2023;TIER_5;2.0;1.0;0.0;713;2469
32;AstonMartin_DB12VolanteReward_2024;TIER_5;2.0;1.0;0.0;713;2274
33;AstonMartin_DB12VolanteRewardRecycled_2024;TIER_5;2.0;1.0;0.0;713;2245
34;AstonMartin_DB5Classic_1964;TIER_2;4.54;0.86;0.0;481;1049
35;AstonMartin_DBR22_2023;TIER_5;2.0;1.0;0.0;713;2512
36;AstonMartin_DBS770UltimateReward_2023;TIER_5;2.0;1.0;0.0;713;2140
37;AstonMartin_DBS770UltimateRewardRecycled_2023;TIER_5;2.0;1.0;0.0;713;2117
38;AstonMartin_DBSGTZagato_2020;TIER_5;2.1;1.0;0.0;713;2227
39;AstonMartin_DBSSuperleggeraReward_2019;TIER_5;2.69;0.92;0.06;714;2063
40;AstonMartin_DBSSuperleggeraRewardRecycled_2019;TIER_5;2.74;1.0;0.06;714;2042
41;AstonMartin_DBSVolanteReward_2020;TIER_5;2.0;0.94;0.16;714;1979
42;AstonMartin_DBSVolanteRewardRecycled_2020;TIER_5;2.37;1.0;0.0;714;1971
43;AstonMartin_DBX707Reward_2023;TIER_4;2.0;1.0;0.63;673;1812
44;AstonMartin_DBX707RewardRecycled_2023;TIER_4;2.0;1.0;0.62;673;1789
45;AstonMartin_DBXReward_2019;TIER_4;3.13;0.79;0.0;672;1052
46;AstonMartin_DBXRewardRecycled_2019;TIER_4;3.11;0.83;0.0;672;1027
47;AstonMartin_DBXSReward_2026;TIER_4;2.0;1.0;0.0;673;2026
48;AstonMartin_DBXSRewardRecycled_2026;TIER_4;2.0;1.0;0.0;673;1993
49;AstonMartin_One77Reward_2010;TIER_5;2.24;1.0;;713;1730
50;AstonMartin_One77RewardRecycled_2010;TIER_5;2.24;1.0;;713;1730
51;AstonMartin_V12Speedster_2021;TIER_5;2.0;1.0;0.0;713;2291
52;AstonMartin_V12SpeedsterDBR1_2021;TIER_5;2.0;1.0;0.0;713;2343
53;AstonMartin_V12Vantage_2023;TIER_5;2.0;1.0;0.0;713;2292
54;AstonMartin_V12VantageRReward_2023;TIER_5;2.0;1.0;0.0;713;2292
55;AstonMartin_V12VantageRRewardRecycled_2023;TIER_5;2.0;1.0;0.0;713;2264
56;AstonMartin_Valhalla_2020;TIER_5;2.0;1.0;0.0;714;2418
57;AstonMartin_Valhalla_2025;TIER_5;2.0;1.0;0.0;713;2458
58;AstonMartin_ValhallaGold_2020;TIER_5;2.0;1.0;0.0;714;2327
59;AstonMartin_Valiant_2025;TIER_5;2.0;1.0;0.0;713;2528
60;AstonMartin_Valkyrie_2020;TIER_5;2.77;0.0;0.0;713;2355
61;AstonMartin_ValkyrieAMRPro_2022;TIER_5;2.0;1.0;0.0;713;2481
62;AstonMartin_ValkyrieAMRProConcept_2020;TIER_5;2.65;0.0;0.0;713;2464
63;AstonMartin_ValkyrieSpider_2022;TIER_5;2.0;1.0;0.0;713;2373
64;AstonMartin_ValkyrieSpirit_2020;TIER_5;2.68;0.0;0.0;713;2409
65;AstonMartin_ValkyrieTrackPack_2020;TIER_5;2.0;0.0;0.0;713;2430
66;AstonMartin_ValkyrieTrackPackAMR_2020;TIER_5;2.7;0.0;0.0;713;2441
67;AstonMartin_Valour_2024;TIER_5;2.0;1.0;0.0;713;2528
68;AstonMartin_ValourReward_2024;TIER_5;2.0;1.0;0.0;713;2528
69;AstonMartin_ValourRewardRecycled_2024;TIER_5;2.0;1.0;0.0;713;2502
70;AstonMartin_Vanquish_2014;TIER_4;4.26;0.84;0.16;672;715
71;AstonMartin_Vanquish_2014;TIER_4;4.22;0.93;0.14;672;646
72;AstonMartin_Vanquish_2025;TIER_5;2.0;1.0;0.0;713;2392
