raw;crdb;ctie;nitrous(fidr)max elite;gear(nlpr) max elite;tyres(ttpp)max elite;power(cppi)max elite;Perf(cepi)max elite
1;AstonMartin_DB5Classic_1964;TIER_2;4.0;0.0;0.0;481;1339
2;AstonMartin_VantageV8RewardRecycled_2018;TIER_4;2.01;0.93;0.1;674;1567
3;Audi_RS5Coupe_2014;TIER_3;3.45;1.0;1.0;581;808
4;BMW_30CSLE9LP_1973;TIER_5;2.0;1.0;0.0;713;2570
5;BMW_M235iCoupe_2014;TIER_2;3.08;0.87;0.11;484;1212
6;BMW_M2G87TNR_2023;TIER_5;2.0;1.0;0.0;713;2453
7;BMW_M4CompetitionG82TNR_2021;TIER_5;2.0;1.0;0.0;713;2064
8;BMW_VarisM4GTSRewardRecycled_2016;TIER_4;3.5;0.93;0.0;674;1632
9;Bugatti_EB110SSClassic_1992;TIER_5;2.33;0.96;0.15;713;1759
10;Cadillac_CTSVRewardRecycled_2017;TIER_4;3.2;1.0;0.0;673;1604
11;Chevrolet_CamaroSS_2016;TIER_3;3.41;1.0;0.35;584;916
12;Chevrolet_CorvetteC1LPClassic_1958;TIER_5;2.0;1.0;1.0;713;2288
13;Chevrolet_CorvetteC8RewardRecycled_2020;TIER_4;5.0;1.0;0.07;674;1720
14;Chevrolet_CorvetteStingrayTNR_2020;TIER_5;2.09;1.0;0.0;713;2433
15;Chevrolet_CorvetteZR1Classic_1970;TIER_3;3.24;0.95;0.12;581;813
16;Chevrolet_NovaSSLPClassic_1970;TIER_5;2.0;1.0;0.0;679;1907
17;Datsun_240ZLPClassic_1972;TIER_5;2.0;1.0;0.0;713;2391
18;Dodge_ChallengerRTLPClassic_1970;TIER_5;2.0;1.0;0.0;713;2412
19;Dodge_ChallengerSRTHellcat_2015;TIER_3;2.12;0.99;0.45;584;840
20;Dodge_ViperGTS_2015;TIER_4;4.65;0.93;0.0;672;1220
21;Dodge_ViperSR1LPClassic_1995;TIER_5;2.0;1.0;0.0;713;2437
22;Ferrari_250GTOClassic_1962;TIER_2;4.73;1.0;0.0;481;1524
